"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2033","[banner_with_steps] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[FCA EN | unregistered] About / Legal / Complaints","content/about.spec.ts","",""
"","1374","[background_banner_block_btn1_signup] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[FCA EN | unregistered] Trading / Learn / All resources","content/trading.spec.ts","",""
"","2315","Country dropdown opens with a search box","chromium","2026-06-28","passed","2026-06-28","[CMA EN | unregistered] Header regional settings","header/header-regional-settings.spec.ts","",""
"","1428","[banner_with_steps] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[FCA EN | unauthorized] Trading / Learn / All resources","content/trading.spec.ts","",""
"","1617","[banner_with_steps] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[CMA AR | unregistered] Trading / Learn / Trading psychology","content/trading.spec.ts","",""
"","2080","Open platform opens the trading platform","chromium","2026-06-28","passed","2026-06-28","[CMA EN | authorized] Header auth entry","header/header-auth.spec.ts","",""
"","1625","[banner_with_steps] -> platformPage","chromium","2026-06-28","passed","2026-06-28","[FCA EN | authorized] Trading / Learn / Trading psychology","content/trading.spec.ts","",""
"","2024","United Kingdom appears in the country search results","chromium","2026-06-28","passed","2026-06-28","[FCA EN | unauthorized] Header regional settings","header/header-regional-settings.spec.ts","",""
"","2646","[banner_with_steps] -> platformPage","chromium","2026-06-28","passed","2026-06-28","[CMA EN | authorized] About / Help / Help centre","content/about.spec.ts","",""
"","2526","[banner_with_steps] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[ASIC EN | unregistered] Trading / Learn / Technical analysis","content/trading.spec.ts","",""
"","3320","Logo opens main page","chromium","2026-06-28","passed","2026-06-28","[ASIC EN | unregistered] Header navigation","header/header-navigation.spec.ts","",""
"","1216","[background_banner_block_btn2_demo] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[FCA EN | unauthorized] Trading / Learn / Trading strategies","content/trading.spec.ts","",""
"","1528","Switching language keeps the license","chromium","2026-06-28","skipped","2026-06-28","[ASIC EN | unauthorized] Header regional settings","header/header-regional-settings.spec.ts","",""
"","1812","Login button opens the login form","chromium","2026-06-28","passed","2026-06-28","[CMA AR | unauthorized] Header auth entry","header/header-auth.spec.ts","",""
"","1395","[background_banner_block_btn2_demo] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[FCA EN | unregistered] Trading / Learn / Trading strategies","content/trading.spec.ts","",""
"","1575","[banner_with_steps] -> platformPage","chromium","2026-06-28","passed","2026-06-28","[ASIC EN | authorized] Trading / Learn / Trading psychology","content/trading.spec.ts","",""
"","2650","[banner_with_steps] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[CMA EN | unregistered] About / Legal / Complaints","content/about.spec.ts","",""
"","1364","[background_banner_block_btn1_signup] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[ASIC EN | unauthorized] Trading / Learn / Trading strategies","content/trading.spec.ts","",""
"","2059","Entity matches the license","chromium","2026-06-28","passed","2026-06-28","[FCA EN | authorized] Header regional settings","header/header-regional-settings.spec.ts","",""
"","1408","[banner_with_steps] -> signUpForm","chromium","2026-06-28","passed","2026-06-28","[CMA EN | unauthorized] Trading / Learn / All resources","content/trading.spec.ts","",""
